country,confirmedCases,Deaths,Recoveries,activeCases,dateOf
Afghanistan,7072,173,801,6098,5/19/2020 2:32
Albania,948,31,727,190,5/19/2020 2:32
Algeria,7201,555,3625,3021,5/19/2020 2:32
Andorra,761,51,624,86,5/19/2020 2:32
Angola,50,3,17,30,5/19/2020 2:32
Antigua and Barbuda,25,3,19,3,5/19/2020 2:32
Argentina,8371,382,2625,5364,5/19/2020 2:32
Armenia,4823,61,2019,2743,5/19/2020 2:32
Australia,7068,99,6413,556,5/19/2020 2:32
Austria,16269,629,14614,1026,5/19/2020 2:32
Azerbaijan,3387,40,2055,1292,5/19/2020 2:32
Bahamas,96,11,43,42,5/19/2020 2:32
Bahrain,7184,12,2931,4241,5/19/2020 2:32
Bangladesh,23870,349,4585,18936,5/19/2020 2:32
Barbados,88,7,68,13,5/19/2020 2:32
Belarus,30572,171,10130,20271,5/19/2020 2:32
Belgium,55559,9080,14657,31822,5/19/2020 2:32
Belize,18,2,16,0,5/19/2020 2:32
Benin,339,2,83,254,5/19/2020 2:32
Bhutan,21,0,5,16,5/19/2020 2:32
Bolivia,4263,174,503,3586,5/19/2020 2:32
Bosnia and Herzegovina,2304,133,1464,707,5/19/2020 2:32
Botswana,25,1,17,7,5/19/2020 2:32
Brazil,255368,16853,100459,138056,5/19/2020 2:32
Brunei,141,1,136,4,5/19/2020 2:32
Bulgaria,2235,110,612,1513,5/19/2020 2:32
Burkina Faso,796,51,652,93,5/19/2020 2:32
Burma,191,6,101,84,5/19/2020 2:32
Burundi,42,1,20,21,5/19/2020 2:32
Cabo Verde,328,3,85,240,5/19/2020 2:32
Cambodia,122,0,122,0,5/19/2020 2:32
Cameroon,3529,140,1567,1822,5/19/2020 2:32
Canada,79411,5960,39251,34200,5/19/2020 2:32
Central African Republic,327,0,13,314,5/19/2020 2:32
Chad,519,53,117,349,5/19/2020 2:32
Chile,46059,478,20165,25416,5/19/2020 2:32
China,84063,4638,79310,115,5/19/2020 2:32
Colombia,16295,592,3903,11800,5/19/2020 2:32
Comoros,11,1,3,7,5/19/2020 2:32
Congo (Brazzaville),412,15,110,287,5/19/2020 2:32
Congo (Kinshasa),1538,61,272,1205,5/19/2020 2:32
Costa Rica,866,10,575,281,5/19/2020 2:32
Cote d'Ivoire,2119,28,1040,1051,5/19/2020 2:32
Croatia,2228,95,1946,187,5/19/2020 2:32
Cuba,1881,79,1505,297,5/19/2020 2:32
Cyprus,917,17,515,385,5/19/2020 2:32
Czechia,8586,297,5641,2648,5/19/2020 2:32
Denmark,11166,548,9499,1119,5/19/2020 2:32
Diamond Princess,712,13,651,48,5/19/2020 2:32
Djibouti,1518,7,1018,493,5/19/2020 2:32
Dominica,16,0,16,0,5/19/2020 2:32
Dominican Republic,12725,434,6613,5678,5/19/2020 2:32
Ecuador,33582,2799,3433,27350,5/19/2020 2:32
Egypt,12764,645,3440,8679,5/19/2020 2:32
El Salvador,1413,30,474,909,5/19/2020 2:32
Equatorial Guinea,719,7,22,690,5/19/2020 2:32
Eritrea,39,0,39,0,5/19/2020 2:32
Estonia,1784,64,938,782,5/19/2020 2:32
Eswatini,205,2,78,125,5/19/2020 2:32
Ethiopia,352,5,116,231,5/19/2020 2:32
Fiji,18,0,15,3,5/19/2020 2:32
Finland,6380,300,5000,1080,5/19/2020 2:32
France,180051,28242,61843,89966,5/19/2020 2:32
Gabon,1432,11,301,1120,5/19/2020 2:32
Gambia,24,1,13,10,5/19/2020 2:32
Georgia,701,12,432,257,5/19/2020 2:32
Germany,176551,8003,155041,13507,5/19/2020 2:32
Ghana,5735,29,1754,3952,5/19/2020 2:32
Greece,2836,165,1374,1297,5/19/2020 2:32
Grenada,22,0,14,8,5/19/2020 2:32
Guatemala,1912,35,138,1739,5/19/2020 2:32
Guinea,2796,16,1263,1517,5/19/2020 2:32
Guinea-Bissau,1032,4,38,990,5/19/2020 2:32
Guyana,124,10,44,70,5/19/2020 2:32
Haiti,533,21,21,491,5/19/2020 2:32
Holy See,12,0,2,10,5/19/2020 2:32
Honduras,2798,146,340,2312,5/19/2020 2:32
Hungary,3535,462,1400,1673,5/19/2020 2:32
Iceland,1802,10,1786,6,5/19/2020 2:32
India,100328,3156,39233,57939,5/19/2020 2:32
Indonesia,18010,1191,4324,12495,5/19/2020 2:32
Iran,122492,7057,95661,19774,5/19/2020 2:32
Iraq,3554,127,2310,1117,5/19/2020 2:32
Ireland,24200,1547,19470,3183,5/19/2020 2:32
Israel,16643,276,13253,3114,5/19/2020 2:32
Italy,225886,32007,127326,66553,5/19/2020 2:32
Jamaica,520,9,131,380,5/19/2020 2:32
Japan,16305,749,11564,3992,5/19/2020 2:32
Jordan,629,9,413,207,5/19/2020 2:32
Kazakhstan,6751,35,3469,3247,5/19/2020 2:32
Kenya,912,50,336,526,5/19/2020 2:32
Korea South,11078,263,9938,877,5/19/2020 2:32
Kosovo,955,29,691,235,5/19/2020 2:32
Kuwait,15691,118,4339,11234,5/19/2020 2:32
Kyrgyzstan,1216,14,827,375,5/19/2020 2:32
Laos,19,0,14,5,5/19/2020 2:32
Latvia,1009,19,662,328,5/19/2020 2:32
Lebanon,931,26,251,654,5/19/2020 2:32
