country,confirmedCases,Deaths,Recoveries,activeCases,dateOf
Lesotho,1,0,0,1,5/19/2020 2:32
Liberia,229,22,123,84,5/19/2020 2:32
Libya,65,3,35,27,5/19/2020 2:32
Liechtenstein,82,1,55,26,5/19/2020 2:32
Lithuania,1547,59,997,491,5/19/2020 2:32
Luxembourg,3947,107,3715,125,5/19/2020 2:32
Madagascar,322,1,119,202,5/19/2020 2:32
Malawi,70,3,27,40,5/19/2020 2:32
Malaysia,6941,113,5615,1213,5/19/2020 2:32
Maldives,1106,4,58,1044,5/19/2020 2:32
Mali,874,52,512,310,5/19/2020 2:32
Malta,558,6,456,96,5/19/2020 2:32
Mauritania,81,4,7,70,5/19/2020 2:32
Mauritius,332,10,322,0,5/19/2020 2:32
Mexico,51633,5332,35388,10913,5/19/2020 2:32
Moldova,6138,217,2425,3496,5/19/2020 2:32
Monaco,97,4,87,6,5/19/2020 2:32
Mongolia,140,0,24,116,5/19/2020 2:32
Montenegro,324,9,311,4,5/19/2020 2:32
Morocco,6952,192,3758,3002,5/19/2020 2:32
Mozambique,145,0,44,101,5/19/2020 2:32
MS Zaandam,9,2,0,7,5/19/2020 2:32
Namibia,16,0,13,3,5/19/2020 2:32
Nepal,375,2,36,337,5/19/2020 2:32
Netherlands,44341,5713,167,38461,5/19/2020 2:32
New Zealand,1499,21,1433,45,5/19/2020 2:32
Nicaragua,25,8,7,10,5/19/2020 2:32
Niger,909,55,714,140,5/19/2020 2:32
Nigeria,6175,191,1644,4340,5/19/2020 2:32
North Macedonia,1817,104,1301,412,5/19/2020 2:32
Norway,8257,233,32,7992,5/19/2020 2:32
Oman,5379,25,1496,3858,5/19/2020 2:32
Pakistan,42125,903,11922,29300,5/19/2020 2:32
Panama,9726,279,6081,3366,5/19/2020 2:32
Papua New Guinea,8,0,8,0,5/19/2020 2:32
Paraguay,788,11,219,558,5/19/2020 2:32
Peru,94933,2789,30306,61838,5/19/2020 2:32
Philippines,12718,831,2729,9158,5/19/2020 2:32
Poland,18885,936,7628,10321,5/19/2020 2:32
Portugal,29209,1231,6430,21548,5/19/2020 2:32
Qatar,33969,15,4899,29055,5/19/2020 2:32
Romania,17036,1120,9930,5986,5/19/2020 2:32
Russia,290678,2722,70209,217747,5/19/2020 2:32
Rwanda,297,0,203,94,5/19/2020 2:32
Saint Kitts and Nevis,15,0,14,1,5/19/2020 2:32
Saint Lucia,18,0,18,0,5/19/2020 2:32
Saint Vincent and the Grenadines,17,0,14,3,5/19/2020 2:32
San Marino,654,41,203,410,5/19/2020 2:32
Sao Tome and Principe,246,7,4,235,5/19/2020 2:32
Saudi Arabia,57345,320,28748,28277,5/19/2020 2:32
Senegal,2544,26,1076,1442,5/19/2020 2:32
Serbia,10699,231,4799,5669,5/19/2020 2:32
Seychelles,11,0,11,0,5/19/2020 2:32
Sierra Leone,519,33,148,338,5/19/2020 2:32
Singapore,28343,22,9835,18486,5/19/2020 2:32
Slovakia,1495,28,1185,282,5/19/2020 2:32
Slovenia,1466,104,1335,27,5/19/2020 2:32
Somalia,1455,57,163,1235,5/19/2020 2:32
South Africa,16433,286,7298,8849,5/19/2020 2:32
South Sudan,290,4,4,282,5/19/2020 2:32
Spain,231606,27709,150376,53521,5/19/2020 2:32
Sri Lanka,992,9,559,424,5/19/2020 2:32
Sudan,2591,105,247,2239,5/19/2020 2:32
Suriname,11,1,9,1,5/19/2020 2:32
Sweden,30377,3698,4971,21708,5/19/2020 2:32
Switzerland,30597,1886,27600,1111,5/19/2020 2:32
Syria,58,3,36,19,5/19/2020 2:32
Taiwan,440,7,398,35,5/19/2020 2:32
Tajikistan,1729,41,0,1688,5/19/2020 2:32
Tanzania,509,21,183,305,5/19/2020 2:32
Thailand,3031,56,2857,118,5/19/2020 2:32
Timor-Leste,24,0,24,0,5/19/2020 2:32
Togo,330,12,106,212,5/19/2020 2:32
Trinidad and Tobago,116,8,107,1,5/19/2020 2:32
Tunisia,1043,46,819,178,5/19/2020 2:32
Turkey,150593,4171,111577,34845,5/19/2020 2:32
Uganda,248,0,63,185,5/19/2020 2:32
Ukraine,18616,535,5276,12805,5/19/2020 2:32
United Arab Emirates,24190,224,9577,14389,5/19/2020 2:32
United Kingdom,247709,34876,1090,211743,5/19/2020 2:32
Uruguay,737,20,569,148,5/19/2020 2:32
US,1508308,90347,283178,1135016,5/19/2020 2:32
Uzbekistan,2791,13,2314,464,5/19/2020 2:32
Venezuela,618,10,253,355,5/19/2020 2:32
Vietnam,324,0,263,61,5/19/2020 2:32
West Bank and Gaza,388,2,337,49,5/19/2020 2:32
Western Sahara,6,0,6,0,5/19/2020 2:32
Yemen,130,20,1,109,5/19/2020 2:32
Zambia,761,7,192,562,5/19/2020 2:32
Zimbabwe,46,4,18,24,5/19/2020 2:32
Global,4801943,318481,1786875,2696820,5/19/2020 2:32
