countryId,confirmedCases,totalDeaths,totalRecoveries,activeCases,dateOf
141,242271,2212,48003,192056,5/14/2020 3:32
142,287,0,164,123,5/14/2020 3:32
143,15,0,14,1,5/14/2020 3:32
144,18,0,18,0,5/14/2020 3:32
145,17,0,12,5,5/14/2020 3:32
146,643,41,161,441,5/14/2020 3:32
147,220,6,4,210,5/14/2020 3:32
148,44830,273,17622,26935,5/14/2020 3:32
149,2105,21,782,1302,5/14/2020 3:32
150,10295,222,3824,6249,5/14/2020 3:32
151,11,0,10,1,5/14/2020 3:32
152,387,26,97,264,5/14/2020 3:32
153,25346,21,4809,20516,5/14/2020 3:32
154,1469,27,1060,382,5/14/2020 3:32
155,1463,103,260,1100,5/14/2020 3:32
156,1219,52,130,1037,5/14/2020 3:32
157,12074,219,4745,7110,5/14/2020 3:32
158,203,0,2,201,5/14/2020 3:32
159,228691,27104,140823,60764,5/14/2020 3:32
160,915,9,382,524,5/14/2020 3:32
161,1818,90,198,1530,5/14/2020 3:32
162,10,1,9,0,5/14/2020 3:32
163,27909,3460,4971,19478,5/14/2020 3:32
164,30413,1870,27100,1443,5/14/2020 3:32
165,48,3,29,16,5/14/2020 3:32
166,440,7,375,58,5/14/2020 3:32
167,801,23,0,778,5/14/2020 3:32
168,509,21,183,305,5/14/2020 3:32
169,3017,56,2844,117,5/14/2020 3:32
170,24,0,21,3,5/14/2020 3:32
171,219,11,96,112,5/14/2020 3:32
172,116,8,107,1,5/14/2020 3:32
173,1032,45,759,228,5/14/2020 3:32
174,139,0,55,84,5/14/2020 3:32
175,16425,439,3716,12270,5/14/2020 3:32
176,20386,206,6523,13657,5/14/2020 3:32
177,230985,33264,1032,196689,5/14/2020 3:32
178,719,19,545,155,5/14/2020 3:32
179,1390406,84119,243430,1067859,5/14/2020 3:32
180,2612,11,2076,525,5/14/2020 3:32
181,423,10,220,193,5/14/2020 3:32
182,288,0,252,36,5/14/2020 3:32
183,375,2,310,63,5/14/2020 3:32
184,6,0,6,0,5/14/2020 3:32
185,70,12,1,57,5/14/2020 3:32
186,446,7,124,315,5/14/2020 3:32
187,37,4,12,21,5/14/2020 3:32
