country,confirmedCases,Deaths,Recoveries,activeCases,dateOf
Nepal,295,2,36,257,5/18/2020 2:32
Netherlands,44195,5699,167,38329,5/18/2020 2:32
New Zealand,1499,21,1433,45,5/18/2020 2:32
Nicaragua,25,8,7,10,5/18/2020 2:32
Niger,904,54,698,152,5/18/2020 2:32
Nigeria,5959,182,1594,4183,5/18/2020 2:32
North Macedonia,1792,101,1293,398,5/18/2020 2:32
Norway,8249,232,32,7985,5/18/2020 2:32
Oman,5186,22,1465,3699,5/18/2020 2:32
Pakistan,40151,873,11341,27937,5/18/2020 2:32
Panama,9606,275,6081,3250,5/18/2020 2:32
Papua New Guinea,8,0,8,0,5/18/2020 2:32
Paraguay,786,11,202,573,5/18/2020 2:32
Peru,92273,2648,28621,61004,5/18/2020 2:32
Philippines,12513,824,2635,9054,5/18/2020 2:32
Poland,18529,925,7451,10153,5/18/2020 2:32
Portugal,29036,1218,4636,23182,5/18/2020 2:32
Qatar,32604,15,4370,28219,5/18/2020 2:32
Romania,16871,1107,9890,5874,5/18/2020 2:32
Russia,281752,2631,67373,211748,5/18/2020 2:32
Rwanda,292,0,197,95,5/18/2020 2:32
Saint Kitts and Nevis,15,0,14,1,5/18/2020 2:32
Saint Lucia,18,0,18,0,5/18/2020 2:32
Saint Vincent and the Grenadines,17,0,14,3,5/18/2020 2:32
San Marino,654,41,201,412,5/18/2020 2:32
Sao Tome and Principe,235,7,4,224,5/18/2020 2:32
Saudi Arabia,54752,312,25722,28718,5/18/2020 2:32
Senegal,2480,25,973,1482,5/18/2020 2:32
Serbia,10610,230,4713,5667,5/18/2020 2:32
Seychelles,11,0,10,1,5/18/2020 2:32
Sierra Leone,505,32,141,332,5/18/2020 2:32
Singapore,28038,22,9340,18676,5/18/2020 2:32
Slovakia,1494,28,1163,303,5/18/2020 2:32
Slovenia,1466,104,273,1089,5/18/2020 2:32
Somalia,1421,56,152,1213,5/18/2020 2:32
South Africa,15515,264,7006,8245,5/18/2020 2:32
South Sudan,290,4,4,282,5/18/2020 2:32
Spain,230698,27563,146446,56689,5/18/2020 2:32
Sri Lanka,981,9,538,434,5/18/2020 2:32
Sudan,2289,97,222,1970,5/18/2020 2:32
Suriname,10,1,9,0,5/18/2020 2:32
Sweden,30143,3679,4971,21493,5/18/2020 2:32
Switzerland,30587,1881,27500,1206,5/18/2020 2:32
